# KSL
ID	DOCULECT	CONCEPT	GlossID	Orthography	IPA	Tokens	CogID
125	H	35_wagerent	43	bér	beːr	b eː r	43
126	EAH	35_wagerent	43	bērü	beːry	b eː r y	43
127	WOT	35_wagerent	43	berü	bɛry	b ɛ r y	43
#
128	H	36_nameofapeople	44	bercel	bɛrt͡sɛl	b ɛ r t͡s ɛ l	44
129	OH	36_nameofapeople	44	bercel	bɛrt͡sɛl	b ɛ r t͡s ɛ l	44
130	EAH	36_nameofapeople	44	bersil	bɛrsil	b ɛ r s i l	44
131	WOT	36_nameofapeople	44	Bärsil	bɛrsil	b ɛ r s i l	44
#
132	H	37_grainorsmallglobuleofpreciousmetal	45	bertű	bɛrtyː	b ɛ r t yː	45
133	OH	37_grainorsmallglobuleofpreciousmetal	45	börtǖ	børtyː	b ø r t yː	45
134	LAH	37_grainorsmallglobuleofpreciousmetal	45	börteü̯	børtɛw	b ø r t ɛ w	45
135	EAH	37_grainorsmallglobuleofpreciousmetal	45	bürtiγ	byrtiɣ	b y r t i ɣ	45
136	WOT	37_grainorsmallglobuleofpreciousmetal	45	bürtiγ	byrtiɣ	b y r t i ɣ	45
#
137	H	38_abirdofprey	46	bese	bɛʃɛ	b ɛ ʃ ɛ	46
138	EAH	38_abirdofprey	46	beše	bɛʃɛ	b ɛ ʃ ɛ	46
139	WOT	38_abirdofprey	46	bäšä	bɛʃɛ	b ɛ ʃ ɛ	46
#
140	H	39_pechenegnameofatribe	47	besenyő	bɛʃɛɲøː	b ɛ ʃ ɛ ɲ øː	47
141	OH	39_pechenegnameofatribe	47	bešeneü̯	bɛʃɛnɛw	b ɛ ʃ ɛ n ɛ w	47
142	EAH	39_pechenegnameofatribe	47	bešeneγ	bɛʃɛnɛɣ	b ɛ ʃ ɛ n ɛ ɣ	47
143	WOT	39_pechenegnameofatribe	47	bäčänäg	bɛt͡ʃɛnɛɡ	b ɛ t͡ʃ ɛ n ɛ ɡ	47
#
144	H	40_letterofthealphabet	48	betű	bɛtyː	b ɛ t yː	48
145	OH	40_letterofthealphabet	48	beteü̯	bɛtɛw	b ɛ t ɛ w	48
146	EAH	40_letterofthealphabet	48	bitiγ	bitiɣ	b i t i ɣ	48
147	WOT	40_letterofthealphabet	48	bitig	bitiɡ	b i t i ɡ	48
#
148	H	41_pocketknife	49	bicsak	bit͡ʃɒk	b i t͡ʃ ɒ k	49
149	EAH	41_pocketknife	49	bičak	bit͡ʃak	b i t͡ʃ a k	49
150	WOT	41_pocketknife	49	bïčak	bɯt͡ʃak	b ɯ t͡ʃ a k	49
#
151	H	41_pocketknife	50	bicsak	bit͡ʃɒk	b i t͡ʃ ɒ k	50
152	EAH	41_pocketknife	50	bičak	bit͡ʃak	b i t͡ʃ a k	50
153	WOT	41_pocketknife	50	bïčkï	bɯt͡ʃkɯ	b ɯ t͡ʃ k ɯ	50
#
154	H	41_pocketknife	51	bicsak	bit͡ʃɒk	b i t͡ʃ ɒ k	51
155	EAH	41_pocketknife	51	bičak	bit͡ʃak	b i t͡ʃ a k	51
156	WOT	41_pocketknife	51	bičkä	bit͡ʃkɛ	b i t͡ʃ k ɛ	51
#
157	H	42_bull	52	bika	bikɒ	b i k ɒ	52
158	EAH	42_bull	52	bika	bika	b i k a	52
159	WOT	42_bull	52	bïka	bɯka	b ɯ k a	52
#
160	H	43_shackles	53	bilincs	bilint͡ʃ	b i l i n t͡ʃ	53
161	OH	43_shackles	53	bilinček	bilint͡ʃɛk	b i l i n t͡ʃ ɛ k	53
162	EAH	43_shackles	53	bileček	bilɛt͡ʃɛk	b i l ɛ t͡ʃ ɛ k	53
163	WOT	43_shackles	53	biläčäk	bilɛt͡ʃɛk	b i l ɛ t͡ʃ ɛ k	53
#
164	H	44_judge	54	bíró	biːroː	b iː r oː	54
165	OH	44_judge	54	birō	biroː	b i r oː	54
166	EAH	44_judge	54	biruγ	biruɣ	b i r u ɣ	54
167	WOT	44_judge	54	bïrug	bɯruɡ	b ɯ r u ɡ	54
#
168	H	45_tobeforgiven	55	bocsán	bot͡ʃaːn	b o t͡ʃ aː n	55
169	OH	45_tobeforgiven	55	bočan	bot͡ʃan	b o t͡ʃ a n	55
170	EAH	45_tobeforgiven	55	bolčan	bolt͡ʃan	b o l t͡ʃ a n	55
171	WOT	45_tobeforgiven	55	bolčan	bolt͡ʃan	b o l t͡ʃ a n	55
#
172	H	46_toforgive	56	bocsát	bot͡ʃaːt	b o t͡ʃ aː t	56
173	OH	46_toforgive	56	bulšat	bulʃat	b u l ʃ a t	56
174	EAH	46_toforgive	56	bulčat	bult͡ʃat	b u l t͡ʃ a t	56
175	WOT	46_toforgive	56	bolčat	bolt͡ʃat	b o l t͡ʃ a t	56
#
176	H	47_bucklerwithhandlehandleofdifferentarms	57	bóda	boːdɒ	b oː d ɒ	57
177	OH	47_bucklerwithhandlehandleofdifferentarms	57	boldå	boldɒ	b o l d ɒ	57
178	EAH	47_bucklerwithhandlehandleofdifferentarms	57	baldaw	baldaw	b a l d a w	57
#
179	H	48_knotbend	58	bog	boɡ	b o ɡ	58
180	EAH	48_knotbend	58	bog	boɡ	b o ɡ	58
181	WOT	48_knotbend	58	bog	boɡ	b o ɡ	58
#
182	H	49_stackofhay	59	boglya	boɡjɒ	b o ɡ j ɒ	59
183	OH	49_stackofhay	59	boglʹå	boɡjɒ	b o ɡ j ɒ	59
184	LAH	49_stackofhay	59	bogulʹa	boɡuja	b o ɡ u j a	59
185	EAH	49_stackofhay	59	bogul	boɡul	b o ɡ u l	59
186	WOT	49_stackofhay	59	bogul	boɡul	b o ɡ u l	59
#
187	H	50_tasselfringetuftnode	60	bojt	bojt	b o j t	60
188	OH	50_tasselfringetuftnode	60	buyt	bujt	b u j t	60
189	LAH	50_tasselfringetuftnode	60	buγt	buɣt	b u ɣ t	60
190	EAH	50_tasselfringetuftnode	60	buγut	buɣut	b u ɣ u t	60
191	WOT	50_tasselfringetuftnode	60	bogut	boɡut	b o ɡ u t	60
#
192	H	51_burdockarctiumsp	61	bojtorján	bojtorjaːn	b o j t o r j aː n	61
193	EAH	51_burdockarctiumsp	61	balturγan	balturɣan	b a l t u r ɣ a n	61
194	WOT	51_burdockarctiumsp	61	balturgan	balturɡan	b a l t u r ɡ a n	61
#
195	H	52_ankle	62	boka	bokɒ	b o k ɒ	62
196	EAH	52_ankle	62	baka	baka	b a k a	62
197	WOT	52_ankle	62	baka	baka	b a k a	62
#
198	H	53_ankleboot	63	bakan	bɒkɒn	b ɒ k ɒ n	63
199	EAH	53_ankleboot	63	bokå	bokɒ	b o k ɒ	63
200	WOT	53_ankleboot	63	baka	baka	b a k a	63
#
201	H	53_ankleboot	64	bakan	bɒkɒn	b ɒ k ɒ n	64
202	EAH	53_ankleboot	64	båkå	bɒkɒ	b ɒ k ɒ	64
203	WOT	53_ankleboot	64	baka	baka	b a k a	64
#
204	H	54_anthill	65	boly	boj	b o j	65
205	OH	54_anthill	65	bolʹ	boj	b o j	65
206	EAH	54_anthill	65	boγol	boɣol	b o ɣ o l	65
207	WOT	54_anthill	65	boγul	boɣul	b o ɣ u l	65
#
208	H	55_wine	66	bor	bor	b o r	66
209	EAH	55_wine	66	bor	bor	b o r	66
210	WOT	55_wine	66	bor	bor	b o r	66
#
211	H	56_tocovertooverturn	67	bor	bor	b o r	67
212	EAH	56_tocovertooverturn	67	bor	bor	b o r	67
213	WOT	56_tocovertooverturn	67	bur	bur	b u r	67
#
214	H	57_cover	68	bur	bur	b u r	68
215	EAH	57_cover	68	bur	bur	b u r	68
216	WOT	57_cover	68	bur	bur	b u r	68
#
217	H	58_calf	69	borjú	borjuː	b o r j uː	69
218	OH	58_calf	69	burγu	burɣu	b u r ɣ u	69
219	EAH	58_calf	69	buraγu	buraɣu	b u r a ɣ u	69
220	WOT	58_calf	69	buraγu	buraɣu	b u r a ɣ u	69
#
221	H	59_pepper	70	bors	borʃ	b o r ʃ	70
222	EAH	59_pepper	70	burč	burt͡ʃ	b u r t͡ʃ	70
223	WOT	59_pepper	70	burč	burt͡ʃ	b u r t͡ʃ	70
#
224	H	60_peapisumsativumbean	71	borsó	borʃoː	b o r ʃ oː	71
225	OH	60_peapisumsativumbean	71	buršau̯	burʃaw	b u r ʃ a w	71
226	EAH	60_peapisumsativumbean	71	burčaγ	burt͡ʃaɣ	b u r t͡ʃ a ɣ	71
227	WOT	60_peapisumsativumbean	71	burčaγ	burt͡ʃaɣ	b u r t͡ʃ a ɣ	71
#
228	H	61_badgermelesmeles	72	borz	borz	b o r z	72
229	EAH	61_badgermelesmeles	72	borsi	borsi	b o r s i	72
230	WOT	61_badgermelesmeles	72	borsï	borsɯ	b o r s ɯ	72
#
231	H	62_witchsorceress	73	boszorkány	bosorkaːɲ	b o s o r k aː ɲ	73
232	EAH	62_witchsorceress	73	basarkan	basarkan	b a s a r k a n	73
233	WOT	62_witchsorceress	73	basarkan	basarkan	b a s a r k a n	73
#
234	H	63_toannoy	74	bosszan	bosːɒn	b o sː ɒ n	74
235	EAH	63_toannoy	74	busan	busan	b u s a n	74
236	WOT	63_toannoy	74	busan	busan	b u s a n	74
#
237	H	64_revenge	75	bosszú	bosːuː	b o sː uː	75
238	OH	64_revenge	75	bossou̯	bosːow	b o sː o w	75
239	EAH	64_revenge	75	bosuγ	bosuɣ	b o s u ɣ	75
240	WOT	64_revenge	75	bosuγ	bosuɣ	b o s u ɣ	75
#
241	H	65_stickcane	76	bot	bot	b o t	76
242	OH	65_stickcane	76	buti	buti	b u t i	76
243	LAH	65_stickcane	76	butī	butiː	b u t iː	76
244	EAH	65_stickcane	76	butiγ	butiɣ	b u t i ɣ	76
245	WOT	65_stickcane	76	butїγ	butɯɣ	b u t ɯ ɣ	76
#
246	H	65_stickcane	77	bot	bot	b o t	77
247	OH	65_stickcane	77	buti	buti	b u t i	77
248	LAH	65_stickcane	77	butu	butu	b u t u	77
249	EAH	65_stickcane	77	butiγ	butiɣ	b u t i ɣ	77
250	WOT	65_stickcane	77	butїγ	butɯɣ	b u t ɯ ɣ	77
#
251	H	65_stickcane	78	but	but	b u t	78
252	OH	65_stickcane	78	buti	buti	b u t i	78
253	LAH	65_stickcane	78	butī	butiː	b u t iː	78
254	EAH	65_stickcane	78	butiγ	butiɣ	b u t i ɣ	78
255	WOT	65_stickcane	78	butїγ	butɯɣ	b u t ɯ ɣ	78
#
256	H	65_stickcane	79	but	but	b u t	79
257	OH	65_stickcane	79	buti	buti	b u t i	79
258	LAH	65_stickcane	79	butu	butu	b u t u	79
259	EAH	65_stickcane	79	butiγ	butiɣ	b u t i ɣ	79
260	WOT	65_stickcane	79	butїγ	butɯɣ	b u t ɯ ɣ	79
#
261	H	66_akindofbeeralcoholicbeverage	80	boza	bozɒ	b o z ɒ	80
262	EAH	66_akindofbeeralcoholicbeverage	80	boza	boza	b o z a	80
#
263	H	67_richabundantroomy	81	bő	bøː	b øː	81
264	OH	67_richabundantroomy	81	beü̯	bɛw	b ɛ w	81
265	EAH	67_richabundantroomy	81	beγ	bɛɣ	b ɛ ɣ	81
266	WOT	67_richabundantroomy	81	bäγ	bɛɣ	b ɛ ɣ	81
#
267	H	68_horseflygadfly	82	bögöly	bøɡøj	b ø ɡ ø j	82
268	OH	68_horseflygadfly	82	bögölʹ	bøɡøj	b ø ɡ ø j	82
269	LAH	68_horseflygadfly	82	bögölʹök	bøɡøjøk	b ø ɡ ø j ø k	82
270	EAH	68_horseflygadfly	82	bögölök	bøɡøløk	b ø ɡ ø l ø k	82
271	WOT	68_horseflygadfly	82	bögöläk	bøɡølɛk	b ø ɡ ø l ɛ k	82
#
272	H	69_fasting	83	böjt	bøjt	b ø j t	83
273	OH	69_fasting	83	büχt	byχt	b y χ t	83
274	EAH	69_fasting	83	büγte	byɣtɛ	b y ɣ t ɛ	83
275	WOT	69_fasting	83	büγtä	byɣtɛ	b y ɣ t ɛ	83
#
276	H	70_wise	84	bölcs	bølt͡ʃ	b ø l t͡ʃ	84
277	OH	70_wise	84	bȫč	bøːt͡ʃ	b øː t͡ʃ	84
278	EAH	70_wise	84	büγüči	byɣyt͡ʃi	b y ɣ y t͡ʃ i	84
279	WOT	70_wise	84	büγüči	byɣyt͡ʃi	b y ɣ y t͡ʃ i	84
#
280	H	71_cradle	85	bölcső	bølt͡ʃøː	b ø l t͡ʃ øː	85
281	OH	71_cradle	85	belčȫ	bɛlt͡ʃøː	b ɛ l t͡ʃ øː	85
282	EAH	71_cradle	85	belčeγ	bɛlt͡ʃɛɣ	b ɛ l t͡ʃ ɛ ɣ	85
283	WOT	71_cradle	85	belčiγ	bɛlt͡ʃiɣ	b ɛ l t͡ʃ i ɣ	85
#
284	H	72_bison	86	bölény	bøleːɲ	b ø l eː ɲ	86
285	OH	72_bison	86	belēń	bɛleːɲ	b ɛ l eː ɲ	86
286	EAH	72_bison	86	belen	bɛlɛn	b ɛ l ɛ n	86
287	WOT	72_bison	86	bülän	bylɛn	b y l ɛ n	86
#
288	H	73_prisonjail	87	börtön	børtøn	b ø r t ø n	87
289	EAH	73_prisonjail	87	berten	bɛrtɛn	b ɛ r t ɛ n	87
290	WOT	73_prisonjail	87	bärtän	bɛrtɛn	b ɛ r t ɛ n	87
#
291	H	74_ismaelitenameofanethnicgroupinmedievalhungary	88	böszörmény	bøsørmeːɲ	b ø s ø r m eː ɲ	88
292	OH	74_ismaelitenameofanethnicgroupinmedievalhungary	88	besermen	bɛsɛrmɛn	b ɛ s ɛ r m ɛ n	88
293	WOT	74_ismaelitenameofanethnicgroupinmedievalhungary	88	besermen	bɛsɛrmɛn	b ɛ s ɛ r m ɛ n	88
#
294	H	75_sadbadtempered	89	bús	buːʃ	b uː ʃ	89
295	OH	75_sadbadtempered	89	bū	buː	b uː	89
296	EAH	75_sadbadtempered	89	buγ	buɣ	b u ɣ	89
297	WOT	75_sadbadtempered	89	buγ	buɣ	b u ɣ	89
#
298	H	76_farewellindulgencededicationfestivalannualparishfeast	90	búcsú	buːt͡ʃuː	b uː t͡ʃ uː	90
299	OH	76_farewellindulgencededicationfestivalannualparishfeast	90	bulčū	bult͡ʃuː	b u l t͡ʃ uː	90
300	LAH	76_farewellindulgencededicationfestivalannualparishfeast	90	bulčū	bult͡ʃuː	b u l t͡ʃ uː	90
301	EAH	76_farewellindulgencededicationfestivalannualparishfeast	90	bulčuγ	bult͡ʃuɣ	b u l t͡ʃ u ɣ	90
302	WOT	76_farewellindulgencededicationfestivalannualparishfeast	90	bolčuγ	bolt͡ʃuɣ	b o l t͡ʃ u ɣ	90
#
303	H	77_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid	91	buga	buɡɒ	b u ɡ ɒ	91
304	EAH	77_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid	91	buga	buɡa	b u ɡ a	91
#
305	H	78_volgabulgar	92	bular	bulɒr	b u l ɒ r	92
306	EAH	78_volgabulgar	92	bular	bular	b u l a r	92
307	WOT	78_volgabulgar	92	bular	bular	b u l a r	92
#
308	H	79_steamvapourfumesheat	93	búsz	buːs	b uː s	93
309	EAH	79_steamvapourfumesheat	93	būs	buːs	b uː s	93
310	WOT	79_steamvapourfumesheat	93	būs	buːs	b uː s	93
#
311	H	80_wheattriticum	94	búza	buːzɒ	b uː z ɒ	94
312	OH	80_wheattriticum	94	būza	buːza	b uː z a	94
313	EAH	80_wheattriticum	94	buγzai	buɣzai	b u ɣ z a i	94
314	WOT	80_wheattriticum	94	buγδay	buɣðaj	b u ɣ ð a j	94
#
315	H	81_clubmacereedmace	95	buzogány	buzoɡaːɲ	b u z o ɡ aː ɲ	95
316	EAH	81_clubmacereedmace	95	buzgan	buzɡan	b u z ɡ a n	95
#
317	H	82_beech	96	bükk	bykː	b y kː	96
318	OH	82_beech	96	bük	byk	b y k	96
319	EAH	82_beech	96	bik	bik	b i k	96
320	WOT	82_beech	96	bik	bik	b i k	96
#
321	H	83_sin	97	bűn	byːn	b yː n	97
322	EAH	83_sin	97	bǖn	byːn	b yː n	97
323	WOT	83_sin	97	bǖn	byːn	b yː n	97
#
324	H	84_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill	98	bütü	byty	b y t y	98
325	EAH	84_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill	98	bütüγ	bytyɣ	b y t y ɣ	98
326	WOT	84_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill	98	bütüγ	bytyɣ	b y t y ɣ	98
#
327	H	85_magical	99	bű	byː	b yː	99
328	OH	85_magical	99	bǖ	byː	b yː	99
329	EAH	85_magical	99	büγü	byɣy	b y ɣ y	99
330	WOT	85_magical	99	büγü	byɣy	b y ɣ y	99
#
331	H	86_akindofwillowsalixelgnos	100	cigle	t͡siɡlɛ	t͡s i ɡ l ɛ	100
332	EAH	86_akindofwillowsalixelgnos	100	čigle	t͡ʃiɡlɛ	t͡ʃ i ɡ l ɛ	100
333	WOT	86_akindofwillowsalixelgnos	100	čiglä	t͡ʃiɡlɛ	t͡ʃ i ɡ l ɛ	100
#
334	H	87_trapsnareforcatchingbirdsbirdcage	101	csigle	t͡ʃiɡlɛ	t͡ʃ i ɡ l ɛ	101
335	EAH	87_trapsnareforcatchingbirdsbirdcage	101	čikle	t͡ʃiklɛ	t͡ʃ i k l ɛ	101
