Language_ID	Grapheme	Orthography	IPA
WOT	undaγ		u n d a ɣ
WOT	untak		u n t a k
WOT	urus		u r u s
WOT	aruslan		a r u s l a n
WOT	určuγ		u r t͡ʃ u ɣ
WOT	ogru		o ɡ r u
WOT	orwučï		o r v u t͡ʃ ɯ
WOT	alčuk		a l t͡ʃ u k
WOT	ökür		ø k y r
WOT	ilt		i l t
WOT	eliγ		ɛ l i ɣ
WOT	ǖn		yː n
WOT	ävir		ɛ v i r
WOT	ävirmän		ɛ v i r m ɛ n
WOT	ärmäni		ɛ r m ɛ n i
WOT	ürük		y r y k
WOT	öγir		ø ɣ i r
WOT	ävril		ɛ v r i l
WOT	äγir		ɛ ɣ i r
WOT	ägirim		ɛ ɡ i r i m
WOT	ägrim		ɛ ɡ r i m
WOT	äγirmän		ɛ ɣ i r m ɛ n
WOT	ägir		ɛ ɡ i r
WOT	özän		ø z ɛ n
WOT	čïγt		t͡ʃ ɯ ɣ t
WOT	čïgït		t͡ʃ ɯ ɡ ɯ t
WOT	šar		ʃ a r
WOT	šarï		ʃ a r ɯ
WOT	šarug		ʃ a r u ɡ
WOT	šarakan		ʃ a r a k a n
WOT	čarlaγ		t͡ʃ a r l a ɣ
WOT	šarmaγ		ʃ a r m a ɣ
WOT	čaruγ		t͡ʃ a r u ɣ
WOT	čatur		t͡ʃ a t u r
WOT	šip		ʃ i p
WOT	šipir		ʃ i p i r
WOT	šipiriγ		ʃ i p i r i ɣ
WOT	čöpräγ		t͡ʃ ø p r ɛ ɣ
WOT	čöprök		t͡ʃ ø p r ø k
WOT	šir		ʃ i r
WOT	čärig		t͡ʃ ɛ r i ɡ
WOT	širkä		ʃ i r k ɛ
WOT	širlig		ʃ i r l i ɡ
WOT	širt		ʃ i r t
WOT	šïk		ʃ ɯ k
WOT	šïma		ʃ ɯ m a
WOT	šiu		ʃ i u
WOT	šiw		ʃ i v
WOT	čok		t͡ʃ o k
WOT	čavlï		t͡ʃ a v l ɯ
WOT	čavlïm		t͡ʃ a v l ɯ m
WOT	čum		t͡ʃ u m
WOT	čumluγ		t͡ʃ u m l u ɣ
WOT	šire		ʃ i r ɛ
WOT	šivrigey		ʃ i v r i ɡ ɛ j
WOT	šilliγ		ʃ i lː i ɣ
WOT	šiγül		ʃ i ɣ y l
WOT	čiräγ		t͡ʃ i r ɛ ɣ
WOT	siγ		s i ɣ
WOT	sagïm		s a ɡ ɯ m
WOT	sakaγ		s a k a ɣ
WOT	sakal		s a k a l
WOT	sāl		s aː l
WOT	sām		s aː m
WOT	saγïn		s a ɣ ɯ n
WOT	sān		s aː n
WOT	sanduk		s a n d u k
WOT	sapaγ		s a p a ɣ
WOT	sar		s a r
WOT	čaγrïn		t͡ʃ a ɣ r ɯ n
WOT	satïγčï		s a t ɯ ɣ t͡ʃ ɯ
WOT	säkü		s ɛ k y
WOT	śēl		s eː l
WOT	sender		s ɛ n d ɛ r
WOT	sön		s ø n
WOT	sip		s i p
WOT	säpliγ		s ɛ p l i ɣ
WOT	čer		t͡ʃ ɛ r
WOT	čürüγ		t͡ʃ y r y ɣ
WOT	sis		s i s
WOT	sin		s i n
WOT	sïyrum		s ɯ j r u m
WOT	sïrt		s ɯ r t
WOT	sav		s a v
WOT	soŋkur		s o ŋ k u r
WOT	sawur		s a v u r
WOT	sek		s ɛ k
WOT	čeleγ		t͡ʃ ɛ l ɛ ɣ
WOT	siŋuk		s i ŋ u k
WOT	čiγči		t͡ʃ i ɣ t͡ʃ i
WOT	sür		s y r
WOT	süzök		s y z ø k
WOT	taltučï		t a l t u t͡ʃ ɯ
WOT	tanïlč		t a n ɯ l t͡ʃ
WOT	tanuγ		t a n u ɣ
WOT	taplaγ		t a p l a ɣ
WOT	topluγ		t o p l u ɣ
WOT	tar		t a r
WOT	tavar		t a v a r
WOT	tarïlaγ		t a r ɯ l a ɣ
WOT	tart		t a r t
WOT	tatar		t a t a r
WOT	taturgan		t a t u r ɡ a n
WOT	tåtrång		t ɒ t r ɒ n ɡ
WOT	täkir		t ɛ k i r
WOT	täkänäγ		t ɛ k ɛ n ɛ ɣ
WOT	tilök		t i l ø k
WOT	täŋ		t ɛ ŋ
WOT	teŋäl		t ɛ ŋ ɛ l
WOT	täŋir		t ɛ ŋ i r
WOT	tävir		t ɛ v i r
WOT	tīr		t iː r
WOT	terem		t ɛ r ɛ m
WOT	teve		t ɛ v ɛ
WOT	talkïγ		t a l k ɯ ɣ
WOT	tana		t a n a
WOT	tuγ		t u ɣ
WOT	toγ		t o ɣ
WOT	toku		t o k u
WOT	toklu		t o k l u
WOT	tolmač		t o l m a t͡ʃ
WOT	turma		t u r m a
WOT	turo		t u r o
WOT	turuntay		t u r u n t a j
WOT	tāt		t aː t
WOT	tükä		t y k ɛ
WOT	tümän		t y m ɛ n
WOT	töγür		t ø ɣ y r
WOT	tȫr		t øː r
WOT	türkü		t y r k y
WOT	törütün		t ø r y t y n
WOT	törüγän		t ø r y ɣ ɛ n
WOT	tezäk		t ɛ z ɛ k
WOT	tokol		t o k o l
WOT	toraγ		t o r a ɣ
WOT	toγrïl		t o ɣ r ɯ l
WOT	togδak		t o ɡ ð a k
WOT	tikär		t i k ɛ r
WOT	tükär		t y k ɛ r
WOT	tör		t ø r
WOT	tür		t y r
WOT	tiγuk		t i ɣ u k
WOT	uγu		u ɣ u
WOT	urï		u r ɯ
WOT	örgä		ø r ɡ ɛ
WOT	erim		ɛ r i m
WOT	iriγ		i r i ɣ
WOT	isig		i s i ɡ
WOT	öväč		ø v ɛ t͡ʃ
WOT	vay		v a j
WOT	valaγ		v a l a ɣ
WOT	väyśäγ		v ɛ j s ɛ ɣ
WOT	väkü		v ɛ k y
WOT	vändäg		v ɛ n d ɛ ɡ
WOT	ver		v ɛ r
WOT	vertülük		v ɛ r t y l y k
WOT	särgä		s ɛ r ɡ ɛ
