Row	Comment
West Old Turkic112	FALSE
West Old Turkic113	FALSE
West Old Turkic114	FALSE
West Old Turkic115	FALSE
West Old Turkic116	FALSE
West Old Turkic117	FALSE
West Old Turkic118	FALSE
West Old Turkic119	FALSE
West Old Turkic120	FALSE
West Old Turkic121	FALSE
West Old Turkic122	TRUE
West Old Turkic123	TRUE
West Old Turkic124	FALSE
West Old Turkic125	TRUE
West Old Turkic126	TRUE
West Old Turkic127	TRUE
West Old Turkic128	TRUE
West Old Turkic129	FALSE
West Old Turkic130	TRUE
West Old Turkic131	TRUE
West Old Turkic132	TRUE
West Old Turkic133	TRUE
West Old Turkic134	TRUE
West Old Turkic135	FALSE
West Old Turkic136	FALSE
West Old Turkic137	FALSE
West Old Turkic138	FALSE
West Old Turkic139	FALSE
West Old Turkic140	TRUE
West Old Turkic141	TRUE
West Old Turkic142	FALSE
West Old Turkic143	FALSE
West Old Turkic144	FALSE
West Old Turkic145	FALSE
West Old Turkic146	FALSE
West Old Turkic147	TRUE
West Old Turkic148	TRUE
West Old Turkic149	TRUE
West Old Turkic150	TRUE
West Old Turkic151	TRUE
West Old Turkic152	TRUE
West Old Turkic153	TRUE
West Old Turkic154	FALSE
West Old Turkic155	TRUE
West Old Turkic156	TRUE
West Old Turkic157	TRUE
West Old Turkic158	TRUE
West Old Turkic159	TRUE
West Old Turkic160	TRUE
West Old Turkic161	TRUE
West Old Turkic162	FALSE
West Old Turkic163	TRUE
West Old Turkic164	TRUE
West Old Turkic165	TRUE
West Old Turkic166	TRUE
West Old Turkic167	TRUE
West Old Turkic168	TRUE
West Old Turkic169	FALSE
West Old Turkic170	TRUE
West Old Turkic171	FALSE
West Old Turkic172	FALSE
West Old Turkic173	FALSE
West Old Turkic174	TRUE
West Old Turkic175	TRUE
West Old Turkic176	TRUE
West Old Turkic177	TRUE
West Old Turkic178	TRUE
West Old Turkic179	TRUE
West Old Turkic180	TRUE
West Old Turkic181	TRUE
West Old Turkic182	FALSE
West Old Turkic183	TRUE
West Old Turkic184	FALSE
West Old Turkic185	FALSE
West Old Turkic186	TRUE
West Old Turkic187	FALSE
West Old Turkic188	FALSE
West Old Turkic189	FALSE
West Old Turkic190	FALSE
West Old Turkic191	FALSE
West Old Turkic192	FALSE
West Old Turkic193	TRUE
West Old Turkic194	TRUE
West Old Turkic195	TRUE
West Old Turkic196	FALSE
West Old Turkic197	FALSE
West Old Turkic198	TRUE
West Old Turkic199	FALSE
West Old Turkic200	FALSE
West Old Turkic201	TRUE
West Old Turkic202	TRUE
West Old Turkic203	FALSE
West Old Turkic204	FALSE
West Old Turkic205	FALSE
West Old Turkic206	FALSE
West Old Turkic207	TRUE
West Old Turkic208	TRUE
West Old Turkic209	FALSE
West Old Turkic210	FALSE
West Old Turkic211	FALSE
West Old Turkic212	TRUE
West Old Turkic213	TRUE
West Old Turkic214	TRUE
West Old Turkic215	TRUE
West Old Turkic216	TRUE
West Old Turkic217	FALSE
West Old Turkic218	FALSE
West Old Turkic219	FALSE
West Old Turkic220	FALSE
West Old Turkic221	TRUE
West Old Turkic222	TRUE
West Old Turkic223	TRUE
West Old Turkic224	TRUE
West Old Turkic225	TRUE
West Old Turkic226	FALSE
West Old Turkic227	TRUE
West Old Turkic228	FALSE
West Old Turkic229	TRUE
West Old Turkic230	TRUE
West Old Turkic231	FALSE
West Old Turkic232	TRUE
West Old Turkic233	FALSE
West Old Turkic234	FALSE
West Old Turkic235	TRUE
West Old Turkic236	FALSE
West Old Turkic237	TRUE
West Old Turkic238	TRUE
West Old Turkic239	FALSE
West Old Turkic240	FALSE
West Old Turkic241	FALSE
West Old Turkic242	FALSE
West Old Turkic243	FALSE
West Old Turkic244	TRUE
West Old Turkic245	TRUE
West Old Turkic246	TRUE
West Old Turkic247	TRUE
West Old Turkic248	FALSE
West Old Turkic249	FALSE
West Old Turkic250	FALSE
West Old Turkic251	TRUE
West Old Turkic252	TRUE
West Old Turkic253	TRUE
West Old Turkic254	FALSE
West Old Turkic255	TRUE
West Old Turkic256	TRUE
West Old Turkic257	TRUE
West Old Turkic258	TRUE
West Old Turkic259	TRUE
West Old Turkic260	TRUE
West Old Turkic261	FALSE
West Old Turkic262	FALSE
West Old Turkic263	TRUE
West Old Turkic264	TRUE
West Old Turkic265	TRUE
West Old Turkic266	TRUE
West Old Turkic267	FALSE
West Old Turkic268	TRUE
West Old Turkic269	TRUE
West Old Turkic270	TRUE
West Old Turkic271	FALSE
West Old Turkic272	TRUE
West Old Turkic273	TRUE
West Old Turkic274	TRUE
West Old Turkic275	TRUE
West Old Turkic276	FALSE
West Old Turkic277	TRUE
West Old Turkic278	TRUE
West Old Turkic279	TRUE
West Old Turkic280	TRUE
West Old Turkic281	FALSE
West Old Turkic282	FALSE
West Old Turkic283	FALSE
West Old Turkic284	FALSE
West Old Turkic285	FALSE
West Old Turkic286	FALSE
West Old Turkic287	TRUE
West Old Turkic288	FALSE
West Old Turkic289	FALSE
West Old Turkic290	FALSE
West Old Turkic291	TRUE
West Old Turkic292	FALSE
West Old Turkic293	FALSE
West Old Turkic294	FALSE
West Old Turkic295	FALSE
West Old Turkic296	FALSE
West Old Turkic297	FALSE
West Old Turkic298	TRUE
West Old Turkic299	TRUE
West Old Turkic300	TRUE
West Old Turkic301	TRUE
West Old Turkic302	TRUE
West Old Turkic303	TRUE
West Old Turkic304	TRUE
West Old Turkic305	FALSE
West Old Turkic306	TRUE
West Old Turkic307	TRUE
West Old Turkic308	FALSE
West Old Turkic309	TRUE
West Old Turkic310	TRUE
West Old Turkic311	TRUE
West Old Turkic312	FALSE
West Old Turkic313	TRUE
West Old Turkic314	TRUE
West Old Turkic315	FALSE
West Old Turkic316	FALSE
West Old Turkic317	TRUE
West Old Turkic318	FALSE
West Old Turkic319	TRUE
West Old Turkic320	TRUE
West Old Turkic321	TRUE
West Old Turkic322	TRUE
West Old Turkic323	TRUE
West Old Turkic324	TRUE
West Old Turkic325	TRUE
West Old Turkic326	TRUE
West Old Turkic327	FALSE
West Old Turkic328	FALSE
West Old Turkic329	TRUE
West Old Turkic330	TRUE
West Old Turkic331	FALSE
West Old Turkic332	TRUE
West Old Turkic333	FALSE
West Old Turkic334	TRUE
West Old Turkic335	TRUE
West Old Turkic336	TRUE
West Old Turkic337	FALSE
West Old Turkic338	FALSE
West Old Turkic339	TRUE
West Old Turkic340	FALSE
West Old Turkic341	FALSE
West Old Turkic342	FALSE
West Old Turkic343	TRUE
West Old Turkic344	FALSE
West Old Turkic345	TRUE
West Old Turkic346	TRUE
West Old Turkic347	TRUE
West Old Turkic348	TRUE
West Old Turkic349	FALSE
West Old Turkic350	FALSE
West Old Turkic351	TRUE
West Old Turkic352	FALSE
West Old Turkic353	FALSE
West Old Turkic354	FALSE
West Old Turkic355	TRUE
West Old Turkic356	FALSE
West Old Turkic357	FALSE
West Old Turkic358	TRUE
West Old Turkic359	TRUE
West Old Turkic360	TRUE
West Old Turkic361	TRUE
West Old Turkic362	TRUE
West Old Turkic363	TRUE
West Old Turkic364	FALSE
West Old Turkic365	FALSE
West Old Turkic366	FALSE
West Old Turkic367	TRUE
West Old Turkic368	FALSE
West Old Turkic369	TRUE
West Old Turkic370	FALSE
West Old Turkic371	FALSE
West Old Turkic372	TRUE
West Old Turkic373	FALSE
West Old Turkic374	TRUE
West Old Turkic375	FALSE
West Old Turkic376	TRUE
West Old Turkic377	TRUE
West Old Turkic378	TRUE
West Old Turkic379	TRUE
West Old Turkic380	TRUE
West Old Turkic381	TRUE
West Old Turkic382	TRUE
West Old Turkic383	TRUE
West Old Turkic384	TRUE
West Old Turkic385	FALSE
West Old Turkic386	TRUE
West Old Turkic387	FALSE
West Old Turkic388	FALSE
West Old Turkic389	FALSE
West Old Turkic390	FALSE
West Old Turkic391	FALSE
West Old Turkic392	TRUE
West Old Turkic393	TRUE
West Old Turkic394	FALSE
West Old Turkic395	FALSE
West Old Turkic396	TRUE
West Old Turkic397	FALSE
West Old Turkic398	TRUE
West Old Turkic399	FALSE
West Old Turkic400	FALSE
West Old Turkic401	FALSE
West Old Turkic402	TRUE
West Old Turkic403	TRUE
West Old Turkic404	TRUE
West Old Turkic405	TRUE
West Old Turkic406	FALSE
West Old Turkic407	TRUE
West Old Turkic408	FALSE
West Old Turkic409	TRUE
West Old Turkic410	FALSE
West Old Turkic411	FALSE
West Old Turkic412	FALSE
West Old Turkic413	FALSE
West Old Turkic414	FALSE
West Old Turkic415	TRUE
West Old Turkic416	TRUE
West Old Turkic417	FALSE
West Old Turkic418	TRUE
West Old Turkic419	FALSE
West Old Turkic420	FALSE
West Old Turkic421	FALSE
West Old Turkic422	TRUE
West Old Turkic423	FALSE
West Old Turkic424	FALSE
West Old Turkic425	FALSE
West Old Turkic426	FALSE
West Old Turkic427	TRUE
West Old Turkic428	TRUE
West Old Turkic429	FALSE
West Old Turkic430	TRUE
West Old Turkic431	TRUE
West Old Turkic432	TRUE
West Old Turkic433	TRUE
West Old Turkic434	TRUE
West Old Turkic435	TRUE
West Old Turkic436	TRUE
West Old Turkic437	FALSE
West Old Turkic438	TRUE
West Old Turkic439	FALSE
West Old Turkic440	FALSE
West Old Turkic441	TRUE
West Old Turkic442	TRUE
West Old Turkic443	TRUE
West Old Turkic444	TRUE
West Old Turkic445	TRUE
West Old Turkic446	TRUE
West Old Turkic447	TRUE
West Old Turkic448	TRUE
West Old Turkic449	TRUE
West Old Turkic450	TRUE
West Old Turkic451	FALSE
West Old Turkic452	TRUE
West Old Turkic453	FALSE
West Old Turkic454	FALSE
West Old Turkic455	TRUE
West Old Turkic456	TRUE
West Old Turkic457	FALSE
West Old Turkic458	FALSE
West Old Turkic459	TRUE
West Old Turkic460	TRUE
West Old Turkic461	TRUE
West Old Turkic462	TRUE
West Old Turkic463	FALSE
West Old Turkic464	FALSE
West Old Turkic465	FALSE
West Old Turkic466	TRUE
West Old Turkic467	TRUE
West Old Turkic468	TRUE
West Old Turkic469	TRUE
West Old Turkic470	TRUE
West Old Turkic471	TRUE
West Old Turkic472	FALSE
West Old Turkic473	FALSE
West Old Turkic474	TRUE
West Old Turkic475	TRUE
West Old Turkic476	TRUE
West Old Turkic477	TRUE
West Old Turkic478	TRUE
West Old Turkic479	TRUE
West Old Turkic480	TRUE
West Old Turkic481	FALSE
West Old Turkic482	TRUE
West Old Turkic483	TRUE
West Old Turkic484	TRUE
West Old Turkic485	TRUE
West Old Turkic486	TRUE
West Old Turkic487	TRUE
West Old Turkic488	TRUE
West Old Turkic489	TRUE
West Old Turkic490	TRUE
West Old Turkic491	TRUE
West Old Turkic492	TRUE
West Old Turkic493	TRUE
West Old Turkic494	FALSE
West Old Turkic495	TRUE
West Old Turkic496	TRUE
West Old Turkic497	TRUE
West Old Turkic498	TRUE
West Old Turkic499	TRUE
West Old Turkic500	TRUE
West Old Turkic501	TRUE
West Old Turkic502	FALSE
West Old Turkic503	FALSE
West Old Turkic504	FALSE
West Old Turkic505	TRUE
West Old Turkic506	FALSE
West Old Turkic507	FALSE
West Old Turkic508	FALSE
West Old Turkic509	FALSE
West Old Turkic510	TRUE
West Old Turkic511	FALSE
West Old Turkic512	TRUE
