ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE
1741	WOT	a hole in the ice (for fishing)	väkü	väkü	v ɛ k y	
1742	H	a hole in the ice (for fishing)	vék	vék	v eː k	
1743	EAH	a hole in the ice (for fishing)	vekü	vekü	v ɛ k y	
1744	WOT	a hole in the ice (for fishing)	väkü	väkü	v ɛ k y	
983	H	a kind of Hungarian sheepdog	komondor	komondor	k o m o n d o r	
984	EAH	a kind of Hungarian sheepdog	kumandur	kumandur	k u m a n d u r	
1055	H	a kind of Hungarian sheepdog, komondor	köpec	köpec	k ø p ɛ t͡s	
1056	OH	a kind of Hungarian sheepdog, komondor	köpečke	köpečke	k ø p ɛ t͡ʃ k ɛ	
1057	LAH	a kind of Hungarian sheepdog, komondor	köpekče	köpekče	k ø p ɛ k t͡ʃ ɛ	
1058	EAH	a kind of Hungarian sheepdog, komondor	köpek	köpek	k ø p ɛ k	
1059	WOT	a kind of Hungarian sheepdog, komondor	köpäk	köpäk	k ø p ɛ k	
262	H	a kind of beer, alcoholic beverage	boza	boza	b o z ɒ	
263	EAH	a kind of beer, alcoholic beverage	boza	boza	b o z a	
1089	H	a kind of dog, a Hungarian breed of sheepdog	kuvasz	kuvasz	k u v ɒ s	
1090	EAH	a kind of dog, a Hungarian breed of sheepdog	kuwaz	kuwaz	k u v a z	
1442	H	a kind of falcon, Pielfalcus, Gyrfalco	szongor	szongor	s o n ɡ o r	
1443	EAH	a kind of falcon, Pielfalcus, Gyrfalco	sonkor	sonkor	s o n k o r	
1444	WOT	a kind of falcon, Pielfalcus, Gyrfalco	soŋkur	soŋkur	s o ŋ k u r	
915	H	a kind of ship	kerep	kerep	k ɛ r ɛ p	
916	WOT	a kind of ship	käräp	käräp	k ɛ r ɛ p	
1607	H	a kind of small falcon, Falco columbarius aescalon	torontál	torontál	t o r o n t aː l	
1608	OH	a kind of small falcon, Falco columbarius aescalon	turuntalʹ	turuntalʹ	t u r u n t a j	
1609	EAH	a kind of small falcon, Falco columbarius aescalon	turuntay	turuntay	t u r u n t a j	
1610	WOT	a kind of small falcon, Falco columbarius aescalon	turuntay	turuntay	t u r u n t a j	
740	H	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	gyűrű	gyűrű	ɟ yː r yː	
741	OH	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	dʹereü̯	dʹereü̯	ɟ ɛ r ɛ w	
742	EAH	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	ǰereγ	ǰereγ	d͡ʒʲ ɛ r ɛ ɣ	
743	WOT	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	ǰereγ	ǰereγ	d͡ʒʲ ɛ r ɛ ɣ	
351	H	a kind of willow	csigla	csigla	t͡ʃ i ɡ l ɒ	see headword CIGLE in original source (nested entry)
352	EAH	a kind of willow	čigla	čigla	t͡ʃ i ɡ l a	see headword CIGLE in original source (nested entry)
353	WOT	a kind of willow	čïgla	čïgla	t͡ʃ ɯ ɡ l a	see headword CIGLE in original source (nested entry)
332	H	a kind of willow, Salix elægnos	cigle	cigle	t͡s i ɡ l ɛ	
333	EAH	a kind of willow, Salix elægnos	čigle	čigle	t͡ʃ i ɡ l ɛ	
334	WOT	a kind of willow, Salix elægnos	čiglä	čiglä	t͡ʃ i ɡ l ɛ	
347	H	a kind of willow, used for baskets and in viticulture, Salix purpurea	csigolya	csigolya	t͡ʃ i ɡ o j ɒ	see headword CIGLE in original source (nested entry)
348	OH	a kind of willow, used for baskets and in viticulture, Salix purpurea	čigolʹa	čigolʹa	t͡ʃ i ɡ o j a	see headword CIGLE in original source (nested entry)
349	EAH	a kind of willow, used for baskets and in viticulture, Salix purpurea	čigla	čigla	t͡ʃ i ɡ l a	see headword CIGLE in original source (nested entry)
350	WOT	a kind of willow, used for baskets and in viticulture, Salix purpurea	čïgla	čïgla	t͡ʃ ɯ ɡ l a	see headword CIGLE in original source (nested entry)
354	H	a kind of wolfs milk, Easter flower, Euphorbia	cötkény	cötkény	t͡s ø t k eː ɲ	
355	EAH	a kind of wolfs milk, Easter flower, Euphorbia	sütken	sütken	s y t k ɛ n	
356	H	a kind of wolfs milk, Easter flower, Euphorbia	cötkény	cötkény	t͡s ø t k eː ɲ	
357	EAH	a kind of wolfs milk, Easter flower, Euphorbia	süttegen	süttegen	s y tː ɛ ɡ ɛ n	
1288	H	a nit	serke	serke	ʃ ɛ r k ɛ	
1289	EAH	a nit	širke	širke	ʃ i r k ɛ	
1290	WOT	a nit	širkä	širkä	ʃ i r k ɛ	
1537	H	a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	telek	telek	t ɛ l ɛ k	
1538	EAH	a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	telük	telük	t ɛ l y k	
1539	WOT	a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	tilök	tilök	t i l ø k	
485	H	a short fur coat	daku	daku	d ɒ k u	
486	EAH	a short fur coat	daku	daku	d a k u	
61	H	a type of lasso	árkány	árkány	aː r k aː ɲ	
62	EAH	a type of lasso	arkan	arkan	a r k a n	
1253	H	a type of wild onion, Ornithogalum	sárma	sárma	ʃ aː r m ɒ	
1254	EAH	a type of wild onion, Ornithogalum	šarmaγ	šarmaγ	ʃ a r m a ɣ	
1255	WOT	a type of wild onion, Ornithogalum	šarmaγ	šarmaγ	ʃ a r m a ɣ	
827	H	a water plant, Stratiotes aloides	kalokány	kalokány	k ɒ l o k aː ɲ	
828	EAH	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
829	WOT	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
830	H	a water plant, Stratiotes aloides	kolokány	kolokány	k o l o k aː ɲ	
831	EAH	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
832	WOT	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
833	H	a water plant, Stratiotes aloides	karlokány	karlokány	k ɒ r l o k aː ɲ	
834	EAH	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
835	WOT	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
433	H	a wine of low quality, a fruit wine	csiger	csiger	t͡ʃ i ɡ ɛ r	
434	EAH	a wine of low quality, a fruit wine	čigir	čigir	t͡ʃ i ɡ i r	
435	WOT	a wine of low quality, a fruit wine	čïgïr	čïgïr	t͡ʃ ɯ ɡ ɯ r	
436	H	a wine of low quality, a fruit wine	csiger	csiger	t͡ʃ i ɡ ɛ r	
437	EAH	a wine of low quality, a fruit wine	čigir	čigir	t͡ʃ i ɡ i r	
438	WOT	a wine of low quality, a fruit wine	čȧgïr	čȧgïr	t͡ʃ ɐ ɡ ɯ r	
1489	H	advice; council	tanács	tanács	t ɒ n aː t͡ʃ	
1490	EAH	advice; council	tanilč	tanilč	t a n i l t͡ʃ	
1491	WOT	advice; council	tanïlč	tanïlč	t a n ɯ l t͡ʃ	
991	H	age, period	kor	kor	k o r	
992	EAH	age, period	kur	kur	k u r	
993	WOT	age, period	kur	kur	k u r	
824	H	an ethnic group of Muslim faith in Mediaeval Hungary	káliz	káliz	k aː l i z	
825	EAH	an ethnic group of Muslim faith in Mediaeval Hungary	kaliz	kaliz	k a l i z	
826	WOT	an ethnic group of Muslim faith in Mediaeval Hungary	kvaliz	kvaliz	k v a l i z	
889	H	an ethnic name, Kazar	kazár	kazár	k ɒ z aː r	
890	EAH	an ethnic name, Kazar	kazar	kazar	k a z a r	
891	WOT	an ethnic name, Kazar	kazar	kazar	k a z a r	
196	H	ankle	boka	boka	b o k ɒ	
197	EAH	ankle	baka	baka	b a k a	
198	WOT	ankle	baka	baka	b a k a	
199	H	ankle boot	bakancs	bakancs	b ɒ k ɒ n t͡ʃ	
200	EAH	ankle boot	bokå	bokå	b o k ɒ	
201	WOT	ankle boot	baka	baka	b a k a	
202	H	ankle boot	bakancs	bakancs	b ɒ k ɒ n t͡ʃ	
203	EAH	ankle boot	båkå	båkå	b ɒ k ɒ	
204	WOT	ankle boot	baka	baka	b a k a	
205	H	anthill	boly	boly	b o j	
206	OH	anthill	bolʹ	bolʹ	b o j	
207	EAH	anthill	boγol	boγol	b o ɣ o l	
208	WOT	anthill	boγul	boγul	b o ɣ u l	
29	H	apple	alma	alma	ɒ l m ɒ	
30	EAH	apple	alma	alma	a l m a	
31	WOT	apple	alma	alma	a l m a	
858	H	arm	kar	kar	k ɒ r	
859	EAH	arm	kar	kar	k a r	
860	WOT	arm	kar	kar	k a r	
1284	H	army, troops, crowd	sereg	sereg	ʃ ɛ r ɛ ɡ	
1285	OH	army, troops, crowd	šerig	šerig	ʃ ɛ r i ɡ	
1286	EAH	army, troops, crowd	čärig	čärig	t͡ʃ ɛ r i ɡ	
1287	WOT	army, troops, crowd	čärig	čärig	t͡ʃ ɛ r i ɡ	
1067	H	ash tree, Fraxinus sp.	kőris	kőris	k øː r i ʃ	
1068	OH	ash tree, Fraxinus sp.	kǖriš	kǖriš	k yː r i ʃ	
1069	EAH	ash tree, Fraxinus sp.	kewrič	kewrič	k ɛ v r i t͡ʃ	
1070	WOT	ash tree, Fraxinus sp.	kevrič	kevrič	k ɛ v r i t͡ʃ	
1544	H	axle	tengely	tengely	t ɛ n ɡ ɛ j	
1545	EAH	axle	tengel	tengel	t ɛ n ɡ ɛ l	
1546	WOT	axle	teŋäl	teŋäl	t ɛ ŋ ɛ l	
229	H	badger, Meles meles	borz	borz	b o r z	
230	EAH	badger, Meles meles	borsi	borsi	b o r s i	
231	WOT	badger, Meles meles	borsï	borsï	b o r s ɯ	
1504	H	bald	tar	tar	t ɒ r	
1505	EAH	bald	tar	tar	t a r	
1506	WOT	bald	tar	tar	t a r	
66	H	barley, Hordeum	árpa	árpa	aː r p ɒ	
67	EAH	barley, Hordeum	arpa	arpa	a r p a	
68	WOT	barley, Hordeum	arpa	arpa	a r p a	
32	H	barrel (wooden container andstandard quantity)	általag	általag	aː l t ɒ l ɒ ɡ	
33	EAH	barrel (wooden container andstandard quantity)	altalag	altalag	a l t a l a ɡ	
34	WOT	barrel (wooden container andstandard quantity)	altïlïg	altïlïg	a l t ɯ l ɯ ɡ	
35	H	barrel (wooden container andstandard quantity)	átalag	átalag	aː t ɒ l ɒ ɡ	
36	EAH	barrel (wooden container andstandard quantity)	altalag	altalag	a l t a l a ɡ	
37	WOT	barrel (wooden container andstandard quantity)	altïlïg	altïlïg	a l t ɯ l ɯ ɡ	
69	H	barrow	ártány	ártány	aː r t aː ɲ	
70	EAH	barrow	aritan	aritan	a r i t a n	
71	WOT	barrow	arïtan	arïtan	a r ɯ t a n	
1364	H	beard	szakáll	szakáll	s ɒ k aː lː	
1365	EAH	beard	sakal	sakal	s a k a l	
1366	WOT	beard	sakal	sakal	s a k a l	
1409	H	beautiful	szép	szép	s eː p	
1410	EAH	beautiful	sip	sip	s i p	
1411	WOT	beautiful	sip	sip	s i p	
318	H	beech	bükk	bükk	b y kː	
319	OH	beech	bük	bük	b y k	
320	EAH	beech	bik	bik	b i k	
321	WOT	beech	bik	bik	b i k	
1331	H	beer	sör	sör	ʃ ø r	
1332	OH	beer	šer	šer	ʃ ɛ r	
1333	EAH	beer	šere	šere	ʃ ɛ r ɛ	
1334	WOT	beer	šire	šire	ʃ i r ɛ	
970	H	beggar	koldus	koldus	k o l d u ʃ	
971	EAH	beggar	koldu	koldu	k o l d u	
972	WOT	beggar	koldu	koldu	k o l d u	
973	H	beggar	koldus	koldus	k o l d u ʃ	
974	EAH	beggar	koldu	koldu	k o l d u	
975	WOT	beggar	kolduš	kolduš	k o l d u ʃ	
754	H	bell	harang	harang	h ɒ r ɒ n ɡ	
755	EAH	bell	hangar	hangar	h a n ɡ a r	
756	WOT	bell	χoŋar	χoŋar	χ o ŋ a r	
285	H	bison	bölény	bölény	b ø l eː ɲ	
286	OH	bison	belēń	belēń	b ɛ l eː ɲ	
287	EAH	bison	belen	belen	b ɛ l ɛ n	
288	WOT	bison	bülän	bülän	b y l ɛ n	
1017	H	blackthorn, Prunus spinosa	kökény	kökény	k ø k eː ɲ	
1018	EAH	blackthorn, Prunus spinosa	köken	köken	k ø k ɛ n	
1019	WOT	blackthorn, Prunus spinosa	kökän	kökän	k ø k ɛ n	
897	H	blue	kék	kék	k eː k	
898	EAH	blue	keyk	keyk	k ɛ j k	
899	WOT	blue	kȫk	kȫk	k øː k	
751	H	boat, ship	hajó	hajó	h ɒ j oː	
752	EAH	boat, ship	hayiγ	hayiγ	h a j i ɣ	
753	WOT	boat, ship	χayїγ	χayїγ	χ a j ɯ ɣ	
479	H	bobbin, spindle	csűr	csűr	t͡ʃ yː r	
480	OH	bobbin, spindle	čǖri	čǖri	t͡ʃ yː r i	
481	EAH	bobbin, spindle	čeviri	čeviri	t͡ʃ ɛ v i r i	
482	WOT	bobbin, spindle	čäviri	čäviri	t͡ʃ ɛ v i r i	
1042	H	book	könyv	könyv	k ø ɲ v	
1043	OH	book	köńüγ	köńüγ	k ø ɲ y ɣ	
1044	EAH	book	küńüγ	küńüγ	k y ɲ y ɣ	
1045	WOT	book	küńüγ	küńüγ	k y ɲ y ɣ	
1046	H	book	könyü	könyü	k ø ɲ y	
1047	OH	book	köńüγ	köńüγ	k ø ɲ y ɣ	
1048	EAH	book	küńüγ	küńüγ	k y ɲ y ɣ	
1049	WOT	book	küńüγ	küńüγ	k y ɲ y ɣ	
658	H	borderland, hedge	gyepű	gyepű	ɟ ɛ p yː	
659	OH	borderland, hedge	ǰepeü̯	ǰepeü̯	d͡ʒʲ ɛ p ɛ w	
660	EAH	borderland, hedge	ǰepiγ	ǰepiγ	d͡ʒʲ ɛ p i ɣ	
661	WOT	borderland, hedge	ǰäpiγ	ǰäpiγ	d͡ʒʲ ɛ p i ɣ	
892	H	bosom, breast	kebel	kebel	k ɛ b ɛ l	
893	WOT	bosom, breast	käbäl	käbäl	k ɛ b ɛ l	
1036	H	breast strap	kömődörög	kömődörög	k ø m øː d ø r ø ɡ	
1037	EAH	breast strap	kömöndörök	kömöndörök	k ø m ø n d ø r ø k	
1038	H	breast strap	kentreg	kentreg	k ɛ n t r ɛ ɡ	
1039	OH	breast strap	köndrög	köndrög	k ø n d r ø ɡ	
1040	LAH	breast strap	kömdörök	kömdörök	k ø m d ø r ø k	
1041	EAH	breast strap	kömöndörök	kömöndörök	k ø m ø n d ø r ø k	
843	H	bridle, reins	kantár	kantár	k ɒ n t aː r	
844	WOT	bridle, reins	kantar	kantar	k a n t a r	
1294	H	bristles, also short sheaves used to strengthen a thatched roof	serte	serte	ʃ ɛ r t ɛ	
1295	OH	bristles, also short sheaves used to strengthen a thatched roof	širte	širte	ʃ i r t ɛ	
1296	EAH	bristles, also short sheaves used to strengthen a thatched roof	širt	širt	ʃ i r t	
1297	WOT	bristles, also short sheaves used to strengthen a thatched roof	širt	širt	ʃ i r t	
1270	H	broom	seprű	seprű	ʃ ɛ p r yː	
1271	EAH	broom	šipiriγ	šipiriγ	ʃ i p i r i ɣ	
1272	WOT	broom	šipiriγ	šipiriγ	ʃ i p i r i ɣ	
1350	H	brother-in-law	sű	sű	ʃ yː	
1351	OH	brother-in-law	šiv	šiv	ʃ i v	
1352	EAH	brother-in-law	siγ	siγ	s i ɣ	
1353	WOT	brother-in-law	siγ	siγ	s i ɣ	
1354	H	brother-in-law	süv	süv	ʃ y v	
1355	OH	brother-in-law	šiv	šiv	ʃ i v	
1356	EAH	brother-in-law	siγ	siγ	s i ɣ	
1357	WOT	brother-in-law	siγ	siγ	s i ɣ	
1381	H	bucket, wooden pail (with a handle)	szapu	szapu	s ɒ p u	
1382	OH	bucket, wooden pail (with a handle)	sapū	sapū	s a p uː	
1383	LAH	bucket, wooden pail (with a handle)	sapau̯	sapau̯	s a p a w	
1384	EAH	bucket, wooden pail (with a handle)	sapaγ	sapaγ	s a p a ɣ	
1385	WOT	bucket, wooden pail (with a handle)	sapaγ	sapaγ	s a p a ɣ	
177	H	buckler with handle, handle of different arms	bóda	bóda	b oː d ɒ	
178	OH	buckler with handle, handle of different arms	boldå	boldå	b o l d ɒ	
179	EAH	buckler with handle, handle of different arms	baldaw	baldaw	b a l d a v	
158	H	bull	bika	bika	b i k ɒ	
159	EAH	bull	bika	bika	b i k a	
160	WOT	bull	bïka	bïka	b ɯ k a	
648	H	bulrush, Typha latifolia / angustifolia; matting made of bulrushes	gyékény	gyékény	ɟ eː k eː ɲ	
649	EAH	bulrush, Typha latifolia / angustifolia; matting made of bulrushes	ǰeken	ǰeken	d͡ʒʲ ɛ k ɛ n	
650	WOT	bulrush, Typha latifolia / angustifolia; matting made of bulrushes	ǰekän	ǰekän	d͡ʒʲ ɛ k ɛ n	
817	H	bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)	káka	káka	k aː k ɒ	
818	WOT	bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)	kakï	kakï	k a k ɯ	
193	H	burdock, Arctium sp.	bojtorján	bojtorján	b o j t o r j aː n	
194	EAH	burdock, Arctium sp.	balturγan	balturγan	b a l t u r ɣ a n	
195	WOT	burdock, Arctium sp.	balturgan	balturgan	b a l t u r ɡ a n	
1007	H	burn	kozma	kozma	k o z m ɒ	
1008	OH	burn	kosmā	kosmā	k o s m aː	
1009	EAH	burn	kasmaγ	kasmaγ	k a s m a ɣ	
1010	WOT	burn	kasmaγ	kasmaγ	k a s m a ɣ	
1660	H	bustard, Otis	túzok	túzok	t uː z o k	
1661	EAH	bustard, Otis	toγzak	toγzak	t o ɣ z a k	
1662	WOT	bustard, Otis	togδak	togδak	t o ɡ ð a k	
806	H	buttermilk	író	író	iː r oː	
807	OH	buttermilk	irō	irō	i r oː	
808	EAH	buttermilk	iraγ	iraγ	i r a ɣ	
809	WOT	buttermilk	ïraγ	ïraγ	ɯ r a ɣ	
218	H	calf	borjú	borjú	b o r j uː	
219	OH	calf	burγu	burγu	b u r ɣ u	
220	EAH	calf	buraγu	buraγu	b u r a ɣ u	
221	WOT	calf	buraγu	buraγu	b u r a ɣ u	
1564	H	camel	teve	teve	t ɛ v ɛ	
1565	EAH	camel	teve	teve	t ɛ v ɛ	
1566	WOT	camel	teve	teve	t ɛ v ɛ	
671	H	candle	gyertya	gyertya	ɟ ɛ r c ɒ	according to the corrigenda-section on p. 1494 I changed 'dʹertʹå < *ǰarta ← WOT *ǰarta' to 'dʹertʹå < *ǰarta ← WOT *yarta'
672	EAH	candle	ǰarta	ǰarta	d͡ʒʲ a r t a	according to the corrigenda-section on p. 1494 I changed 'dʹertʹå < *ǰarta ← WOT *ǰarta' to 'dʹertʹå < *ǰarta ← WOT *yarta'
673	WOT	candle	yarta	yarta	j a r t a	according to the corrigenda-section on p. 1494 I changed 'dʹertʹå < *ǰarta ← WOT *ǰarta' to 'dʹertʹå < *ǰarta ← WOT *yarta'
4	H	cannon, catapult	ágyú	ágyú	aː ɟ uː	
5	OH	cannon, catapult	āldʹū	āldʹū	aː l ɟ uː	
6	LAH	cannon, catapult	aldau̯	aldau̯	a l d a w	
7	EAH	cannon, catapult	aldaγ	aldaγ	a l d a ɣ	
8	WOT	cannon, catapult	aldaγ	aldaγ	a l d a ɣ	
1	H	carpenter	ács	ács	aː t͡ʃ	
2	EAH	carpenter	aγači	aγači	a ɣ a t͡ʃ i	
3	WOT	carpenter	aγaččï	aγaččï	a ɣ a t͡ʃː ɯ	
97	H	cattle, livestock	barom	barom	b ɒ r o m	
98	EAH	cattle, livestock	barum	barum	b a r u m	
99	WOT	cattle, livestock	barum	barum	b a r u m	
1116	H	cause, reason	ok	ok	o k	Sub-entries 'okos' and 'oktalan' are omitted, because no WOT root is given. 'oktat' has a separate entry, since WOT root is given.
1117	EAH	cause, reason	uk	uk	u k	Sub-entries 'okos' and 'oktalan' are omitted, because no WOT root is given. 'oktat' has a separate entry, since WOT root is given.
1118	WOT	cause, reason	uk	uk	u k	Sub-entries 'okos' and 'oktalan' are omitted, because no WOT root is given. 'oktat' has a separate entry, since WOT root is given.
1111	H	chaff, husks, winnowings, tailings, refuse of grain	ocsú	ocsú	o t͡ʃ uː	
1112	OH	chaff, husks, winnowings, tailings, refuse of grain	učū	učū	u t͡ʃ uː	
1113	LAH	chaff, husks, winnowings, tailings, refuse of grain	učou̯	učou̯	u t͡ʃ o w	
1114	EAH	chaff, husks, winnowings, tailings, refuse of grain	učoγ	učoγ	u t͡ʃ o ɣ	
1115	WOT	chaff, husks, winnowings, tailings, refuse of grain	učoγ	učoγ	u t͡ʃ o ɣ	
1397	H	chair, seat, bench, throne	szék	szék	s eː k	
1398	EAH	chair, seat, bench, throne	sekü	sekü	s ɛ k y	
1399	WOT	chair, seat, bench, throne	säkü	säkü	s ɛ k y	
1753	H	chamois, Rupicapra rupicapra	zerge	zerge	z ɛ r ɡ ɛ	
1754	EAH	chamois, Rupicapra rupicapra	serge	serge	s ɛ r ɡ ɛ	
1755	WOT	chamois, Rupicapra rupicapra	särgä	särgä	s ɛ r ɡ ɛ	
76	H	charm	báj	báj	b aː j	The entry 'bűbáj' on p. 190 is omitted from the dataset because compounding ('bű+báj') happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of 'bű' one is supposed to look up 'bűvös' or 'bölcs'. The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of 'bű'.
77	EAH	charm	bay	bay	b a j	The entry 'bűbáj' on p. 190 is omitted from the dataset because compounding ('bű+báj') happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of 'bű' one is supposed to look up 'bűvös' or 'bölcs'. The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of 'bű'.
78	WOT	charm	bay	bay	b a j	The entry 'bűbáj' on p. 190 is omitted from the dataset because compounding ('bű+báj') happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of 'bű' one is supposed to look up 'bűvös' or 'bölcs'. The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of 'bű'.
1127	H	cheap	olcsó	olcsó	o l t͡ʃ oː	
