sc	src	tgt	freq	CogID	forms
l l	l	l	60	6, 7, 11, 13, 27, 28, 29, 38, 44, 53, 85, 86, 92, 100, 114, 115, 133, 150, 151, 155, 168, 174, 183, 184, 190, 195, 202, 211, 213, 215, 216, 217, 232, 242, 243, 244, 261, 271, 292, 295, 309, 336, 343, 349, 357, 371, 383, 404, 414, 418, 431, 438, 441, 442, 445, 452, 468, 482, 484, 511	ál āl, alacs alač, alma alma, átalag altalag, balkány balkan, balta balta, bálvány balvan, bëcsül bečel, bercel bersil, bilincs bileček, bölcső belčeγ, bölény belen, bular bular, cigle čigle, csalán čalaγan, csalit čalit, csolák čolak, dél töli, dél döli, dől dül, erkölcs erkelč, etel etil, gyalá ǰala, gyalom ǰalum, gyarló ǰarlïγ, gyeplő ǰipliγ, gyilkos ǰilkuš, gyúl ǰul, gyűl ǰiγil, gyűlöl ǰeγile, gyümölcs ǰemilč, gyümölcsény ǰemilčen, ildom ildam, kalauz kalauz, kalóz kalauz, káliz kaliz, karambél karampil, kelengye kälinčäγ, koldu koldu, komló kumlaγ, kölcsön külčen, ól aγul, oroszlán uruslān, ölt ilt, őrül evril, sarló čarlaγ, serleg šerleg, szál sal, szél sēl, szeplő sepleγ, szőlő śeleγ, táltos taltuči, táplá taplaγ, tapló topluγ, tarló tarlaγ, telek telük, tolmács tolmač, tulok tukol, turul tuγrïl, vértelek vertelük
- -	-	-	265	6, 7, 11, 13, 14, 15, 17, 19, 21, 22, 23, 24, 26, 27, 28, 29, 32, 33, 34, 35, 36, 37, 38, 39, 42, 44, 46, 49, 52, 55, 56, 58, 61, 62, 64, 65, 66, 68, 70, 73, 74, 80, 86, 87, 89, 91, 92, 93, 95, 96, 97, 100, 105, 107, 109, 110, 111, 115, 117, 118, 122, 129, 130, 133, 134, 135, 138, 141, 142, 146, 147, 148, 149, 155, 157, 163, 166, 167, 168, 169, 172, 173, 174, 177, 179, 181, 184, 186, 187, 192, 193, 194, 198, 200, 202, 203, 204, 205, 207, 209, 210, 211, 212, 213, 216, 217, 222, 225, 227, 228, 229, 231, 232, 233, 234, 236, 238, 242, 243, 244, 245, 252, 255, 257, 259, 260, 261, 264, 265, 266, 267, 270, 272, 273, 277, 281, 282, 286, 287, 288, 289, 290, 291, 292, 296, 297, 298, 300, 301, 303, 304, 306, 307, 308, 309, 310, 311, 313, 314, 318, 319, 321, 325, 326, 327, 331, 332, 334, 336, 342, 343, 345, 348, 349, 350, 351, 352, 355, 356, 357, 359, 361, 364, 365, 367, 370, 374, 375, 376, 377, 380, 381, 382, 383, 384, 385, 386, 387, 390, 392, 397, 400, 401, 403, 404, 405, 406, 410, 411, 414, 417, 419, 421, 422, 423, 427, 429, 433, 435, 436, 439, 440, 443, 444, 446, 447, 448, 450, 452, 454, 455, 456, 457, 460, 461, 463, 464, 467, 468, 469, 472, 473, 474, 475, 476, 477, 479, 480, 481, 482, 484, 485, 487, 488, 490, 493, 497, 498, 501, 502, 503, 504, 509, 511, 512	ál āl, alacs alač, alma alma, átalag altalag, áp op, áporo oporo, arat orat, ár ār, árkány arkan, árok āruk, árpa arpa, ártány aritan, báj bay, balkány balkan, balta balta, bálvány balvan, barág barag, bárca bāsa, barom barum, bársony barčun, basz bas, bátor baγatur, bëcsül bečel, béka baka, bélyeg beleg, bercel bersil, bese beše, bicsak bičak, bika bika, bocsán bolčan, bocsát bulčat, bog bog, bojtorján balturγan, boka baka, bakan båkå, boly boγol, bor bor, bur bur, bors burč, boszorkány basarkan, bosszan busan, boza boza, bölény belen, börtön berten, bús buγ, buga buga, bular bular, búsz būs, buzogány buzgan, bükk bik, bűn bǖn, cigle čigle, csigolya čigla, cötkény sütken, csabak čabak, csak čak, csákány čakan, csalit čalit, csanak čanak, csata čata, csécs čëč, csiga čïga, csiger čigir, csolák čolak, csomak čomak, csődör čeü̯dür, csök čük, csököny čükün, csősz čäüš, daksi ǰakši, daku daku, dara dara, dara dara, dől dül, dug dïg, eng eng, ér er, érdem erdem, erkölcs erkelč, erny erin, eskü ičkü, ész es, etel etil, gödény güden, görény güren, gügyű küdeγü, gyalom ǰalum, gyapjú ǰapγu, gyapot ǰaput, gyász ǰas, gyékény ǰeken, gyënge ǰenge, gyermek ǰärmäk, gyertya ǰarta, gyilkos ǰilkuš, gyom ǰom, gyomor ǰumur, gyón ǰūn, gyopár ǰïpar, gyötör ǰitür, győz ǰeγüz, gyúl ǰul, gyúr ǰuγur, gyűl ǰiγil, gyümölcs ǰemilč, gyümölcsény ǰemilčen, harang hangar, hurok urok, ige üge, igen egen, ije äyi, iker ikir, ildom ildam, ill il, im vim, ír ir, izzi isi, kalauz kalauz, kalóz kalauz, káliz kaliz, kalokány karlukan, kangyíka kåndʹikå, kaptány kapkan, kar kar, karakán karakan, karám korām, karambél karampil, kárókaton karakotan, karvaly karγay, katáng katāng, kazár kazar, kék keyk, kender kendir, kéneső kenešǖ, kér kēr, kés kēč, kicsiny kičin, kíjc kiyiz, kikerics kükerilč, kiköcsény kükerčen, kín kīn, kobak kåbåk, koboz koboz, koldu koldu, komócsin kåmičin, komondor kumandur, komor komur, kor kur, korhány korγan, korom kurum, kos koč, ködmön kedmen, ködmen kedmen, kökény köken, kölcsön külčen, köldök kindik, kölyök külek, kömődörög kömöndörök, kentreg kömöndörök, köpec köpek, köpönyek kepenek, kőris kewrič, köszön küsen, kun kuwan, kuvasz kuwaz, mónár munar, nyögér nöger, ok uk, ól aγul, orosz urus, oroszlán uruslān, orv uγru, ökör ükür, ölt ilt, ölyv eliγ, ön ün, őr evir, örök ürük, ör öγir, őrül evril, őrém eγrim, örmény örmen, özön üzen, sajt čaγt, sár šar, sárkány šārkān, sátor čatur, seb šeb, seper šipir, seprű šipiriγ, sér šir, sereg čärig, serke širke, serleg šerleg, sert širt, sík šik, sima šima, sió šiu, sólyo čavli, som čum, süly šiγül, süv siγ, szágom sagum, szakáll sakal, szál sal, szám sam, szán saγin, szár sar, szárny śārn, szél sēl, szép sip, szer śer, szesz sis, szín sin, szirony siyrum, szongor sonkor, szöcsk sek, szúnyog sinuk, szűn sön, szűr sür, tanács tanilč, tanú tanu, tar tar, tár tavar, tart tart, tatár tatar, tátorján taturγan, teker teker, telek telük, tengődik teng, tengely tengel, tenger teŋir, tér tevir, terem terem, teve teve, tinó tana, toj tuγ, toklyó toklu, tolmács tolmač, torma turma, torontál turuntay, tót tāt, töké tüke, tömén tümen, tör tüγür, tőr tȫr, történ törtün, törvény türüγen, tőzeg tözek, tulok tukol, turul tuγrïl, túzok toγzak, tükör tüker, tűr tür, tyúk tiγuk, üdü edü, ürge ürge, üröm erim, üszök isüg, üszög isüg, üvecs öveč, váj vay, vendég vendeg, vértelek vertelük, zerge serge
m m	m	m	39	11, 34, 134, 167, 184, 198, 203, 204, 216, 217, 224, 232, 234, 260, 261, 295, 296, 297, 298, 303, 305, 306, 307, 313, 331, 354, 359, 361, 372, 386, 392, 393, 401, 405, 460, 468, 469, 475, 498	alma alma, barom barum, csomak čomak, érdem erdem, gyalom ǰalum, gyermek ǰärmäk, gyom ǰom, gyomor ǰumur, gyümölcs ǰemilč, gyümölcsény ǰemilčen, homok humoki, ildom ildam, im vim, karám korām, karambél karampil, komló kumlaγ, komócsin kåmičin, komondor kumandur, komor komur, korom kurum, kozma kasmaγ, ködmön kedmen, ködmen kedmen, kömődörög kömöndörök, mónár munar, örmény ermeni, őrém eγrim, örmény örmen, sárma šarmaγ, sima šima, som čum, somlyó šumluγ, szágom sagum, szám sam, terem terem, tolmács tolmač, torma turma, tömén tümen, üröm erim
t t	t	t	86	13, 17, 20, 24, 28, 37, 45, 48, 56, 60, 61, 76, 78, 83, 87, 98, 107, 115, 118, 121, 174, 187, 191, 209, 264, 266, 279, 323, 349, 365, 374, 384, 412, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 450, 451, 452, 454, 455, 456, 457, 459, 460, 461, 462, 463, 464, 466, 467, 468, 469, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 487, 488, 511	átalag altalag, arat orat, árt ārtat, ártány aritan, balta balta, bátor baγatur, bertű bürtiγ, betű bitiγ, bocsát bulčat, bojt buγut, bojtorján balturγan, bot butiγ, but butiγ, böjt büγte, börtön berten, bütü bütüγ, cötkény sütken, csalit čalit, csata čata, csat čati, etel etil, gyapot ǰaput, gyárt ǰarat, gyötör ǰitür, kárókaton karakotan, katáng katāng, kert kerte, körtvély kertβeli, ölt ilt, sajt čaγt, sátor čatur, sert širt, szatócs satiγči, táltos taltuči, tanács tanilč, tanú tanu, táplá taplaγ, tapló topluγ, tar tar, tár tavar, tarló tarlaγ, tart tart, tatár tatar, tátorján taturγan, teker teker, teknő tekeneγ, telek telük, tengődik teng, tengely tengel, tenger teŋir, tér tevir, térd tīr, terem terem, teve teve, tiló talkiγ, tinó tana, toj tuγ, tok toku, toklyó toklu, tolmács tolmač, torma turma, torli toro, torontál turuntay, tót tāt, töké tüke, tömén tümen, tör tüγür, tőr tȫr, török türkü, történ törtün, törvény türüγen, tőzeg tözek, tulok tukol, túró toraγ, turul tuγrïl, túzok toγzak, tükör tüker, tűr tür, vértelek vertelük
ɡ ɡ	ɡ	ɡ	31	13, 32, 42, 58, 59, 82, 91, 95, 100, 105, 129, 130, 157, 177, 179, 194, 227, 228, 332, 369, 381, 383, 395, 401, 455, 456, 491, 497, 502, 509, 512	átalag altalag, barág barag, bélyeg beleg, bog bog, boglya bogul, bögöly bögölök, buga buga, buzogány buzgan, cigle čigle, csigolya čigla, csiga čïga, csiger čigir, dug dïg, gödény güden, görény güren, gyënge ǰenge, ige üge, igen egen, nyögér nöger, sárga šarug, sereg čärig, serleg šerleg, sőreg ševrege, szágom sagum, tengely tengel, tenger teŋir, ug ugu, ürge ürge, üszög isüg, vendég vendeg, zerge serge
aː o	aː	o	2	14, 15	áp op, áporo oporo
p p	p	p	26	14, 15, 23, 125, 132, 186, 187, 188, 195, 196, 197, 207, 255, 256, 275, 299, 317, 318, 319, 320, 376, 409, 417, 418, 441, 442	áp op, áporo oporo, árpa arpa, csepű čöpüγ, csipa čapaγ, gyapjú ǰapγu, gyapot ǰaput, gyarap ǰarpa, gyeplő ǰipliγ, gyepű ǰepiγ, gyep ǰepi, gyopár ǰïpar, kaptány kapkan, kapu kapuγ, kepe kepeγ, koporsó kopurčaγ, köpcös köpčeγ, köpec köpek, köpönyek kepenek, köpű küpüγ, seper šipir, szapu sapaγ, szép sip, szeplő sepleγ, táplá taplaγ, tapló topluγ
o o	o	o	28	15, 58, 59, 66, 72, 75, 80, 133, 134, 203, 224, 225, 291, 292, 298, 299, 301, 304, 346, 427, 466, 467, 468, 471, 482	áporo oporo, bog bog, boglya bogul, bor bor, borz borsi, bosszú bosuγ, boza boza, csolák čolak, csomak čomak, gyom ǰom, homok humoki, hurok urok, koboz koboz, koldu koldu, komor komur, koporsó kopurčaγ, korhány korγan, kos koč, orvos urvoči, szongor sonkor, tok toku, toklyó toklu, tolmács tolmač, torli toro, tulok tukol
r r	r	r	145	15, 16, 17, 19, 20, 21, 22, 23, 32, 34, 35, 37, 43, 44, 45, 54, 61, 66, 68, 69, 70, 71, 72, 73, 87, 92, 130, 135, 144, 148, 149, 166, 167, 168, 170, 179, 188, 190, 198, 200, 201, 204, 207, 209, 212, 219, 222, 223, 225, 231, 236, 237, 254, 257, 259, 260, 261, 263, 264, 265, 267, 272, 277, 278, 279, 287, 297, 298, 299, 300, 301, 302, 303, 313, 314, 321, 322, 323, 331, 332, 342, 343, 344, 345, 346, 348, 352, 354, 355, 356, 357, 358, 359, 361, 367, 370, 371, 372, 373, 374, 376, 377, 380, 381, 382, 383, 384, 394, 395, 398, 410, 411, 419, 420, 423, 427, 428, 436, 443, 444, 445, 446, 447, 448, 450, 456, 457, 459, 460, 469, 472, 476, 477, 478, 479, 483, 484, 487, 488, 492, 497, 498, 500, 511, 512	áporo oporo, apró opuruγ, arat orat, ár ār, árt ārtat, árkány arkan, árok āruk, árpa arpa, barág barag, barom barum, bársony barčun, bátor baγatur, bér bērü, bercel bersil, bertű bürtiγ, bíró biruγ, bojtorján balturγan, bor bor, bur bur, borjú buraγu, bors burč, borsó burčaγ, borz borsi, boszorkány basarkan, börtön berten, bular bular, csiger čigir, csődör čeü̯dür, csűr čevür, dara dara, dara dara, ér er, érdem erdem, erkölcs erkelč, erő eriγ, görény güren, gyarap ǰarpa, gyarló ǰarlïγ, gyermek ǰärmäk, gyertya ǰarta, gyertyán ǰartaγan, gyomor ǰumur, gyopár ǰïpar, gyötör ǰitür, gyúr ǰuγur, gyűrű ǰürüγ, harang hangar, herjó xirγuy, hurok urok, iker ikir, ír ir, író iraγ, kanyaró karamuγ, kar kar, karakán karakan, karám korām, karambél karampil, karó karoγ, kárókaton karakotan, karvaly karγay, kazár kazar, kender kendir, kér kēr, kérő kevereγ, kert kerte, kikerics kükerilč, komondor kumandur, komor komur, koporsó kopurčaγ, kor kur, korhány korγan, kóró kuroγ, korom kurum, kömődörög kömöndörök, kentreg kömöndörök, kőris kewrič, kőrő kevreγ, körtvély kertβeli, mónár munar, nyögér nöger, orosz urus, oroszlán uruslān, orsó určuγ, orv uγru, orvos urvoči, ökör ükür, őr evir, örmény ermeni, örök ürük, ör öγir, őrül evril, örvény eγir, őrém eγrim, örmény örmen, sár šar, sárkány šārkān, sarló čarlaγ, sárma šarmaγ, saru čaruγ, sátor čatur, seper šipir, seprű šipiriγ, sér šir, sereg čärig, serke širke, serleg šerleg, sert širt, sör šere, sőreg ševrege, sűrű čireγ, szár sar, szárny śārn, szer śer, szérű sürüγ, szirony siyrum, szongor sonkor, szór sawur, szűr sür, tar tar, tár tavar, tarló tarlaγ, tart tart, tatár tatar, tátorján taturγan, teker teker, tenger teŋir, tér tevir, térd tīr, terem terem, torma turma, torontál turuntay, tör tüγür, tőr tȫr, török türkü, történ törtün, túró toraγ, turul tuγrïl, tükör tüker, tűr tür, úr uri, ürge ürge, üröm erim, ürü iriγ, vértelek vertelük, zerge serge
ɒ o	ɒ	o	6	16, 17, 185, 260, 264, 442	apró opuruγ, arat orat, gyanú ǰonaγ, karám korām, kárókaton karakotan, tapló topluγ
p p.u	p	p.u	1	16	apró opuruγ
oː u.ɣ	oː	u.ɣ	6	16, 54, 254, 344, 393, 442	apró opuruγ, bíró biruγ, kanyaró karamuγ, orsó určuγ, somlyó šumluγ, tapló topluγ
- a.t	-	a.t	1	20	árt ārtat
aː a	aː	a	50	21, 23, 24, 25, 26, 27, 29, 32, 35, 55, 56, 61, 73, 95, 111, 133, 183, 191, 192, 207, 244, 245, 255, 259, 264, 267, 301, 331, 367, 369, 372, 374, 401, 403, 404, 405, 410, 438, 441, 447, 448, 468, 472, 504, 505	árkány arkan, árpa arpa, ártány aritan, ászok aski, báj bay, balkány balkan, bálvány balvan, barág barag, bársony barčun, bocsán bolčan, bocsát bulčat, bojtorján balturγan, boszorkány basarkan, buzogány buzgan, csákány čakan, csolák čolak, gyalá ǰala, gyárt ǰarat, gyász ǰas, gyopár ǰïpar, káliz kaliz, kalokány karlukan, kaptány kapkan, karakán karakan, kárókaton karakotan, kazár kazar, korhány korγan, mónár munar, sár šar, sárga šarug, sárma šarmaγ, sátor čatur, szágom sagum, szakáll sakal, szál sal, szám sam, szár sar, táltos taltuči, táplá taplaγ, tatár tatar, tátorján taturγan, tolmács tolmač, torontál turuntay, váj vay, vályú valaγ
k k	k	k	138	21, 22, 25, 27, 39, 40, 41, 49, 52, 62, 64, 73, 107, 109, 110, 111, 117, 124, 133, 134, 138, 141, 146, 147, 162, 168, 172, 193, 198, 202, 224, 225, 231, 242, 243, 244, 245, 252, 254, 255, 256, 257, 259, 260, 261, 263, 264, 265, 266, 267, 269, 270, 271, 272, 273, 275, 277, 278, 279, 280, 281, 282, 285, 286, 287, 288, 289, 290, 291, 292, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 317, 318, 319, 320, 321, 322, 323, 325, 326, 327, 328, 334, 348, 355, 370, 382, 385, 402, 403, 413, 429, 430, 450, 452, 466, 467, 474, 478, 482, 485, 487, 490, 508, 511	árkány arkan, árok āruk, ászok aski, balkány balkan, béka baka, békó bikaγu, béklyó bikaγu, bicsak bičak, bika bika, boka baka, bakan båkå, boszorkány basarkan, cötkény sütken, csabak čabak, csak čak, csákány čakan, csanak čanak, csekél čik, csolák čolak, csomak čomak, csök čük, csököny čükün, daksi ǰakši, daku daku, eke ekeγ, erkölcs erkelč, eskü ičkü, gyékény ǰeken, gyermek ǰärmäk, gyilkos ǰilkuš, homok humoki, hurok urok, iker ikir, kalauz kalauz, kalóz kalauz, káliz kaliz, kalokány karlukan, kangyíka kåndʹikå, kanyaró karamuγ, kaptány kapkan, kapu kapuγ, kar kar, karakán karakan, karám korām, karambél karampil, karó karoγ, kárókaton karakotan, karvaly karγay, katáng katāng, kazár kazar, kecske kečeke, kék keyk, kelengye kälinčäγ, kender kendir, kéneső kenešǖ, kepe kepeγ, kér kēr, kérő kevereγ, kert kerte, keselyű küčeleγ, kés kēč, kicsiny kičin, kis kičiγ, kíjc kiyiz, kikerics kükerilč, kiköcsény kükerčen, kín kīn, kobak kåbåk, koboz koboz, koldu koldu, komló kumlaγ, komócsin kåmičin, komondor kumandur, komor komur, koporsó kopurčaγ, kor kur, korhány korγan, kóró kuroγ, korom kurum, kos koč, kozma kasmaγ, ködmön kedmen, ködmen kedmen, kökény köken, kölcsön külčen, köldök kindik, kölyök külek, kölyű keliγ, kömődörög kömöndörök, kentreg kömöndörök, könyv küńüγ, köpcös köpčeγ, köpec köpek, köpönyek kepenek, köpű küpüγ, kőris kewrič, kőrő kevreγ, körtvély kertβeli, köszön küsen, kun kuwan, kuvasz kuwaz, küllő külleγ, ok uk, ökör ükür, örök ürük, sárkány šārkān, serke širke, sík šik, szaka sakaγ, szakáll sakal, szék sekü, szöcsk sek, szök sek, teker teker, telek telük, tok toku, toklyó toklu, töké tüke, török türkü, tulok tukol, túzok toγzak, tükör tüker, tyúk tiγuk, vék vekü, vértelek vertelük
ɲ n	ɲ	n	32	21, 24, 27, 29, 35, 47, 73, 86, 95, 107, 111, 141, 143, 169, 177, 179, 193, 217, 245, 255, 282, 288, 301, 308, 319, 332, 354, 361, 370, 411, 433, 480	árkány arkan, ártány aritan, balkány balkan, bálvány balvan, bársony barčun, besenyő bešeneγ, boszorkány basarkan, bölény belen, buzogány buzgan, cötkény sütken, csákány čakan, csököny čükün, csúnya čunaγ, erny erin, gödény güden, görény güren, gyékény ǰeken, gyümölcsény ǰemilčen, kalokány karlukan, kaptány kapkan, kicsiny kičin, kiköcsény kükerčen, korhány korγan, kökény köken, köpönyek kepenek, nyögér nöger, örmény ermeni, örmény örmen, sárkány šārkān, szárny śārn, szúnyog sinuk, törvény türüγen
o u	o	u	47	22, 34, 35, 37, 61, 69, 70, 71, 74, 76, 184, 187, 202, 204, 224, 245, 295, 297, 298, 299, 300, 303, 333, 334, 337, 339, 342, 343, 344, 346, 374, 392, 393, 401, 423, 433, 438, 448, 464, 469, 472	árok āruk, barom barum, bársony barčun, bátor baγatur, bojtorján balturγan, borjú buraγu, bors burč, borsó burčaγ, bosszan busan, bot butiγ, gyalom ǰalum, gyapot ǰaput, gyilkos ǰilkuš, gyomor ǰumur, homok humoki, kalokány karlukan, komló kumlaγ, komondor kumandur, komor komur, koporsó kopurčaγ, kor kur, korom kurum, ocsú učoγ, ok uk, olcsó učaγ, ondó undaγ, orosz urus, oroszlán uruslān, orsó určuγ, orvos urvoči, sátor čatur, som čum, somlyó šumluγ, szágom sagum, szirony siyrum, szúnyog sinuk, táltos taltuči, tátorján taturγan, toj tuγ, torma turma, torontál turuntay
r r.i	r	r.i	2	24, 169	ártány aritan, erny erin
s s	s	s	42	25, 36, 73, 93, 154, 173, 192, 220, 325, 342, 343, 401, 402, 403, 404, 405, 406, 409, 410, 412, 413, 414, 415, 417, 418, 420, 421, 422, 423, 426, 427, 428, 429, 430, 433, 435, 436, 437, 501, 502, 506	ászok aski, basz bas, boszorkány basarkan, búsz būs, disznó ǰisnaγ, ész es, gyász ǰas, gyűszű ǰüγsüγ, köszön küsen, orosz urus, oroszlán uruslān, szágom sagum, szaka sakaγ, szakáll sakal, szál sal, szám sam, szán saγin, szapu sapaγ, szár sar, szatócs satiγči, szék sekü, szél sēl, szend sen, szép sip, szeplő sepleγ, szérű sürüγ, szesz sis, szín sin, szirony siyrum, szó saw, szongor sonkor, szór sawur, szöcsk sek, szök sek, szúnyog sinuk, szűn sön, szűr sür, szűz süzök, üszök isüg, üszög isüg, vejsze veyseγ
o -	o	-	3	25, 95, 105	ászok aski, buzogány buzgan, csigolya čigla
b b	b	b	70	26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 80, 81, 82, 83, 84, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 109, 290, 291, 375	báj bay, balkány balkan, balta balta, bálvány balvan, bán baγin, barág barag, bárca bāsa, barom barum, bársony barčun, basz bas, bátor baγatur, bëcsül bečel, béka baka, békó bikaγu, béklyó bikaγu, bélyeg beleg, bér bērü, bercel bersil, bertű bürtiγ, bese beše, besenyő bešeneγ, betű bitiγ, bicsak bičak, bika bika, bilincs bileček, bíró biruγ, bocsán bolčan, bocsát bulčat, bóda baldaw, bog bog, boglya bogul, bojt buγut, bojtorján balturγan, boka baka, bakan båkå, boly boγol, bor bor, bur bur, borjú buraγu, bors burč, borsó burčaγ, borz borsi, boszorkány basarkan, bosszan busan, bosszú bosuγ, bot butiγ, but butiγ, boza boza, bő beγ, bögöly bögölök, böjt büγte, bölcs büγüči, bölcső belčeγ, bölény belen, börtön berten, bús buγ, búcsú bulčuγ, buga buga, bular bular, búsz būs, búza buγzai, buzogány buzgan, bükk bik, bűn bǖn, bütü bütüγ, bű büγü, csabak čabak, kobak kåbåk, koboz koboz, seb šeb
j j	j	j	6	26, 221, 229, 265, 504, 506	báj bay, hajó hayiγ, ije äyi, karvaly karγay, váj vay, vejsze veyseγ
v v	v	v	10	29, 346, 461, 503, 504, 505, 506, 508, 509, 511	bálvány balvan, orvos urvoči, teve teve, üvecs öveč, váj vay, vályú valaγ, vejsze veyseγ, vék vekü, vendég vendeg, vértelek vertelük
aː a.ɣ.i	aː	a.ɣ.i	2	31, 406	bán baγin, szán saγin
r -	r	-	1	33	bárca bāsa
t͡s s	t͡s	s	3	33, 44, 107	bárca bāsa, bercel bersil, cötkény sütken
